DataCadastro;DataConclusaoCadastro;NomeEscola;INEP;UFEscola;MunicipioEscola;IDEscola;IDProfessor
/Date(1758546095177)/;/Date(1758739321023)/;UE JOSE RIOS;21097330;Maranhão;Buritirana;5864;19291
/Date(1758545870643)/;/Date(1758716054973)/;ESCOLA MUNICIPAL MARIA EVANGELISTA DE SOUSA;21279993;Maranhão;Imperatriz;5863;19293
/Date(1758547874773)/;/Date(1758549725920)/;U I PROFª MARIA ROSA REIS TRINDADE;21589682;Maranhão;Raposa;5882;19315
/Date(1758548674680)/;/Date(1758549382443)/;UE HERMES CUNHA;21132305;Maranhão;São Domingos do Maranhão;5891;19322
/Date(1758558180320)/;/Date(1758564564350)/;UE PRES COSTA E SILVA;21096597;Maranhão;Buritirana;5917;19376
/Date(1758559663050)/;/Date(1758561855413)/;UEM ZEFERINO BORGES DA CUNHA;21233128;Maranhão;Caxias;5923;19382
/Date(1758637031593)/;/Date(1758637563517)/;EM JOSE DE FREITAS;21135797;Maranhão;São Bernardo;6144;19398
/Date(1758572864893)/;/Date(1758573832390)/;UI SANTO ANTONIO - CINTURAO;21118248;Maranhão;Jenipapo dos Vieiras;5993;19399
/Date(1758563564433)/;/Date(1758564105237)/;COLEGIO FETMA E FETMA KIDS;21279721;Maranhão;Paço do Lumiar;5940;19402
/Date(1758648468077)/;/Date(1758649552683)/;UI SANTO ANTONIO - CINTURAO;21118248;Maranhão;Jenipapo dos Vieiras;6216;19406
/Date(1758568558123)/;/Date(1758570840160)/;UI BURITICUPU;21081530;Maranhão;Buriticupu;5979;19448
/Date(1758630396747)/;/Date(1758684188957)/;ESCOLA CASA FAMILIAR RURAL;21252475;Maranhão;São Luís;6102;19546
/Date(1758625486753)/;/Date(1758627896657)/;CEF GASTAO DIAS VIEIRA;21215952;Maranhão;Santa Helena;6068;19627
/Date(1758629875217)/;/Date(1758716174023)/;ESCOLA HORAS ALEGRES;21078319;Maranhão;Santa Inês;6100;19668
/Date(1758632898807)/;/Date(1758738647327)/;UI BENEDITO PEREIRA LEITE;21224870;Maranhão;Alto Alegre do Maranhão;6122;19697
/Date(1758635872850)/;/Date(1758636423623)/;UI JOAO MAMEDE PIRES;21150281;Maranhão;Alto Alegre do Maranhão;6141;19725
/Date(1758825018863)/;/Date(1758825839113)/;UI SANTA MARIA - POVOADO SANTA MARIA;21118230;Maranhão;Jenipapo dos Vieiras;6929;19731
/Date(1758646385910)/;/Date(1758647792123)/;UE MARCONE CALDAS;21008256;Maranhão;Raposa;6202;19799
/Date(1758647955237)/;/Date(1758649088383)/;EM DESEMBARGADOR SARNEY COSTA;21056994;Maranhão;Cantanhede;6213;19818
/Date(1758653591853)/;/Date(1758739524057)/;UE JOSE RIOS;21097330;Maranhão;Buritirana;6253;19863
/Date(1758654960280)/;/Date(1758655148643)/;UPAON EDUCACIONAL LTDA;21010064;Maranhão;São Luís;6259;19871
/Date(1758655545570)/;/Date(1758656218553)/;UI SANTO ANTONIO - CINTURAO;21118248;Maranhão;Jenipapo dos Vieiras;6261;19875
/Date(1758672557057)/;/Date(1758755325520)/;COLEGIO D PEDRO I;21129738;Maranhão;Senador Alexandre Costa;6336;20013
/Date(1758712548010)/;/Date(1758713455830)/;ESCOLA MUNICIPAL TIRADENTES II;21197199;Maranhão;Imperatriz;6399;20136
/Date(1758713704940)/;/Date(1758718820817)/;EM RUI BARBOSA;21086753;Maranhão;Zé Doca;6408;20156
